# Constructed from biom file
ID	A4D12	A4D15	A4D18	A4D21	A4D24	A4D27	A4D3	A4D30	A4D37	A4D6	A4D9	A6D12	A6D18	A6D21	A6D24	A6D27	A6D3	A6D30	A6D37	A6D44	A6D6	A6D9	A7D1	A7D12	A7D15	A7D18	A7D21	A7D24	A7D27	A7D30	A7D37	A7D44	A7D6	A7D9	B2D12	B2D15	B2D18	B2D21	B2D24	B2D27	B2D3	B2D37	B2D44	B2D6	B2D9	B4D12	B4D18	B4D21	B4D24	B4D3	B4D30	B4D37	B4D44	B4D6	B4D9	B5D12	B5D18	B5D24	B5D3	B5D30	B5D6	B5D9	B6D12	B6D15	B6D18	B6D21	B6D24	B6D27	B6D37	B6D44	B6D6	B6D9	B8D12	B8D15	B8D18	B8D21	B8D24	B8D27	B8D3	B8D30	B8D37	B8D44	B8D6	B8D9	C1D12	C1D15	C1D18	C1D21	C1D24	C1D27	C1D30	C1D37	C1D44	C1D6	C1D9	C3D1	C3D18	C3D21	C3D24	C3D27	C3D3	C3D30	C3D37	C3D44	C3D6	C3D9	C4D15	C4D18	C4D21	C4D24	C4D27	C4D3	C4D30	C4D37	C4D44	C4D6	C4D9	C7D1	C7D12	C7D15	C7D18	C7D21	C7D24	C7D27	C7D3	C7D30	C7D37	C7D44	C7D6	C7D9	C8D12	C8D15	C8D18	C8D21	C8D24	C8D27	C8D3	C8D30	C8D37	C8D44	C8D6	C8D9	C9D12	C9D15	C9D24	C9D27	C9D3	C9D37	C9D44	C9D6	C9D9	KEGG_Pathways
Amino Acid Metabolism	5608627.0	4008254.0	3871067.0	5581541.0	4659592.0	3834067.0	18756100.0	3483839.0	4937211.0	3949601.0	3804791.0	5592926.0	4255484.0	3692102.0	4001048.0	4283229.0	3516166.0	5737645.0	2978054.0	5010014.0	4140606.0	3944489.0	6091982.0	3542255.0	3771518.0	4193138.0	4102350.0	2331606.0	4157289.0	2333281.0	3403136.0	5673574.0	5490711.0	3287908.0	4042124.0	7026339.0	4545903.0	3666849.0	6950050.0	4985903.0	3896105.0	5423586.0	4664108.0	3255163.0	5712843.0	4729689.0	3733588.0	4254411.0	3874591.0	14807005.0	2776605.0	2815187.0	4705263.0	4314190.0	5095189.0	3515859.0	5218004.0	6362395.0	5058382.0	3936153.0	3920962.0	4284572.0	4869190.0	4126569.0	4060038.0	3912990.0	3513913.0	3914119.0	4983841.0	5070112.0	3565654.0	8883164.0	4163694.0	3668370.0	3798339.0	3819519.0	4765321.0	3413021.0	3219083.0	1860316.0	2840113.0	3941069.0	4332683.0	3932192.0	6064150.0	4570364.0	3737035.0	5053734.0	4335319.0	4393853.0	4452156.0	3165674.0	3294809.0	3342146.0	3336202.0	3280277.0	3274138.0	3717312.0	5474117.0	4061349.0	3591823.0	2930980.0	3423173.0	4132402.0	5485051.0	3938052.0	3518661.0	4152842.0	3944323.0	3138640.0	2370784.0	2704307.0	2284867.0	2941760.0	5374451.0	3645372.0	3429474.0	4459453.0	5540326.0	5599514.0	3837341.0	2531393.0	3741210.0	3731539.0	4476764.0	3005086.0	4788456.0	4180982.0	3472349.0	3851991.0	4310900.0	8734749.0	4733931.0	3928134.0	3395322.0	4030302.0	4691108.0	3574640.0	5889361.0	4217443.0	6618602.0	2963409.0	4009056.0	3705168.0	3785418.0	4113382.0	7613722.0	3457898.0	3532283.0	4372836.0	5013621.0	Metabolism; Amino Acid Metabolism
Biosynthesis of Other Secondary Metabolites	458070.0	323114.0	306961.0	426435.0	367741.0	292657.0	1360202.0	291800.0	414022.0	318376.0	306059.0	457528.0	343890.0	301711.0	302617.0	352163.0	289392.0	533068.0	220297.0	449877.0	342729.0	309383.0	384477.0	283414.0	315164.0	339079.0	343574.0	191233.0	376524.0	196664.0	264390.0	525557.0	444470.0	263184.0	333217.0	576116.0	367927.0	294426.0	531542.0	423659.0	235277.0	444853.0	413052.0	233386.0	456790.0	389286.0	304216.0	341243.0	244382.0	1146207.0	232319.0	243665.0	423952.0	347561.0	410270.0	295467.0	424026.0	499066.0	418871.0	340304.0	317926.0	353956.0	379114.0	335946.0	335690.0	318067.0	282722.0	308529.0	441942.0	460646.0	287956.0	675415.0	338247.0	303733.0	305782.0	313070.0	367304.0	272033.0	239426.0	158963.0	234841.0	345330.0	349435.0	310073.0	509948.0	375755.0	304505.0	387182.0	334829.0	349131.0	379766.0	245419.0	282809.0	251078.0	269379.0	258537.0	263425.0	302771.0	446999.0	330311.0	297498.0	258253.0	266025.0	347136.0	442156.0	313419.0	285862.0	343466.0	323234.0	261497.0	196980.0	222685.0	192370.0	231224.0	486672.0	300845.0	261339.0	358326.0	468981.0	461428.0	320976.0	193610.0	305338.0	289622.0	395688.0	244432.0	404788.0	368075.0	280099.0	317491.0	359318.0	744552.0	392859.0	308590.0	266216.0	336911.0	402204.0	315244.0	547300.0	374184.0	550132.0	223696.0	329975.0	277050.0	297383.0	325719.0	660219.0	275730.0	295201.0	370596.0	422629.0	Metabolism; Biosynthesis of Other Secondary Metabolites
Cancers	63612.0	49585.0	51178.0	71741.0	53019.0	47913.0	245174.0	38115.0	57351.0	47129.0	49404.0	58696.0	48334.0	40857.0	50464.0	41082.0	43120.0	47587.0	36170.0	43809.0	39488.0	52732.0	63361.0	38680.0	41617.0	52168.0	43652.0	13022.0	29266.0	9681.0	42089.0	46622.0	64877.0	39832.0	44137.0	77627.0	57141.0	46429.0	87015.0	50224.0	46669.0	58253.0	40225.0	27887.0	72152.0	49810.0	42946.0	53692.0	33865.0	187489.0	12940.0	17602.0	40498.0	55696.0	56467.0	37886.0	63531.0	79087.0	55531.0	32107.0	51900.0	41306.0	63084.0	47869.0	40836.0	37941.0	37006.0	45390.0	44390.0	42454.0	45367.0	109927.0	47924.0	39359.0	49492.0	42564.0	54970.0	36120.0	47413.0	2244.0	19375.0	33232.0	52741.0	45931.0	59183.0	46660.0	41401.0	64446.0	52611.0	47064.0	40837.0	38568.0	25894.0	40055.0	43636.0	39630.0	43744.0	45989.0	64108.0	43693.0	41454.0	23029.0	39524.0	39777.0	58212.0	46342.0	42302.0	39284.0	43129.0	23959.0	13381.0	30076.0	9497.0	36730.0	46664.0	46576.0	42010.0	43757.0	59488.0	69721.0	36156.0	25507.0	34251.0	44418.0	43781.0	25091.0	51479.0	35198.0	44265.0	44108.0	45876.0	98550.0	53475.0	45296.0	36666.0	43695.0	52295.0	28574.0	53535.0	43937.0	79500.0	40554.0	45722.0	50222.0	42135.0	49583.0	85247.0	40626.0	42740.0	41850.0	54522.0	Human Diseases; Cancers
Carbohydrate Metabolism	7543570.0	5221169.0	5441261.0	7206141.0	5620213.0	4480538.0	23852790.0	4674692.0	6611701.0	5014323.0	5432362.0	6375685.0	5532510.0	4302447.0	4720462.0	4367066.0	4933467.0	6965857.0	3621243.0	6157635.0	4309999.0	5263050.0	5033065.0	4058154.0	4634934.0	5418154.0	4860330.0	3683088.0	5734762.0	3717740.0	3823044.0	6943057.0	7562967.0	4189250.0	4918115.0	9697434.0	6250823.0	5144425.0	9321324.0	6161823.0	3262808.0	6639046.0	4946733.0	4112666.0	7630772.0	5446100.0	4741412.0	5744210.0	4733308.0	19172238.0	4110227.0	3890276.0	5966028.0	6002403.0	6000306.0	5201515.0	7103974.0	8560351.0	6051714.0	5777638.0	5594962.0	4614435.0	6490078.0	5268384.0	4483871.0	4416593.0	5084955.0	4476611.0	5881513.0	5606170.0	4996282.0	11177520.0	4845918.0	4453307.0	5441069.0	4699432.0	5529336.0	4372948.0	4130539.0	3381229.0	4433524.0	4694364.0	5335935.0	4243463.0	7295927.0	5045385.0	4538468.0	6803143.0	5738107.0	4819890.0	4886550.0	3492190.0	4199035.0	3855779.0	4836348.0	4331453.0	4742635.0	4932765.0	7312720.0	4530451.0	5097799.0	4055178.0	4701892.0	4771474.0	6310428.0	4704290.0	4658728.0	4357160.0	4805064.0	4053990.0	3651994.0	3290061.0	3726108.0	3353747.0	6200293.0	4985761.0	3891452.0	4452566.0	6849959.0	7237836.0	4943467.0	3337621.0	4190589.0	4752603.0	4988343.0	4291777.0	5885273.0	5345077.0	4742907.0	4744314.0	4937282.0	11578105.0	6167830.0	4898861.0	4394027.0	4867589.0	5809147.0	4646090.0	7379369.0	5389374.0	8805533.0	3216386.0	5360413.0	4490474.0	4553383.0	5144699.0	9677847.0	4011226.0	4121121.0	4728353.0	6212420.0	Metabolism; Carbohydrate Metabolism
Cardiovascular Diseases	27.0	4.0	16.0	19.0	7.0	19.0	5.0	70.0	43.0	0.0	3.0	30.0	67.0	40.0	220.0	11.0	356.0	15.0	13.0	15.0	84.0	254.0	5.0	5.0	26.0	31.0	19.0	8.0	38.0	26.0	14.0	426.0	34.0	2.0	8.0	19.0	5.0	4.0	12.0	33.0	21.0	175.0	9.0	22.0	138.0	12.0	4.0	6.0	275.0	12.0	72.0	70.0	41.0	16.0	9.0	13.0	22.0	30.0	74.0	24.0	11.0	14.0	0.0	2.0	0.0	2.0	5.0	12.0	6.0	29.0	4.0	10.0	1.0	12.0	2.0	4.0	13.0	3.0	5.0	3.0	22.0	27.0	3.0	5.0	11.0	354.0	7.0	6.0	30.0	31.0	16.0	11.0	79.0	260.0	6.0	24.0	7.0	4.0	28.0	11.0	10.0	15.0	7.0	31.0	13.0	7.0	5.0	7.0	7.0	4.0	55.0	6.0	27.0	6.0	47.0	161.0	10.0	244.0	8.0	5.0	47.0	7.0	21.0	0.0	217.0	4.0	3.0	14.0	6.0	35.0	5.0	2.0	1.0	4.0	2.0	6.0	4.0	22.0	3.0	2.0	2.0	794.0	2.0	16.0	8.0	30.0	53.0	11.0	8.0	6.0	5.0	Human Diseases; Cardiovascular Diseases
Cell Communication	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellular Processes; Cell Communication
Cell Growth and Death	181588.0	150673.0	137485.0	198493.0	178276.0	155392.0	638335.0	140285.0	187918.0	156983.0	135341.0	231184.0	158946.0	156390.0	157327.0	188604.0	134215.0	254160.0	131131.0	223987.0	188880.0	148107.0	176357.0	148851.0	151961.0	149095.0	169230.0	125160.0	198214.0	125047.0	150272.0	250067.0	204126.0	132781.0	161020.0	230486.0	158279.0	131746.0	240241.0	203902.0	157947.0	199356.0	202096.0	152544.0	200177.0	197450.0	144553.0	154550.0	177176.0	502492.0	148053.0	146067.0	200709.0	145572.0	200536.0	142144.0	170097.0	211857.0	199917.0	160554.0	133688.0	185042.0	171670.0	156811.0	173854.0	174945.0	141764.0	164738.0	219829.0	222430.0	129562.0	317742.0	168616.0	148214.0	133034.0	147568.0	174390.0	147833.0	122064.0	112667.0	137077.0	178896.0	158176.0	169069.0	220212.0	197355.0	151332.0	179358.0	151562.0	178465.0	197227.0	137095.0	155512.0	152747.0	117477.0	128706.0	112178.0	138697.0	174460.0	173016.0	138767.0	141915.0	134015.0	179096.0	218916.0	158382.0	136893.0	188081.0	156229.0	151406.0	126801.0	123598.0	126165.0	128697.0	229689.0	133400.0	143580.0	185871.0	198644.0	189855.0	165490.0	123984.0	171042.0	149770.0	209710.0	135552.0	200303.0	191010.0	126507.0	154529.0	184652.0	272775.0	172612.0	161788.0	143159.0	172140.0	195248.0	166889.0	253698.0	168240.0	216862.0	130569.0	154254.0	149068.0	157666.0	159587.0	251898.0	155772.0	149561.0	193393.0	187932.0	Cellular Processes; Cell Growth and Death
Cell Motility	1456252.0	1464492.0	1371786.0	2047453.0	1660846.0	1450876.0	7360444.0	1038971.0	1885671.0	1468838.0	1336087.0	2159576.0	1312125.0	1387463.0	1515115.0	1658110.0	1143936.0	2288723.0	1124087.0	1998935.0	1524319.0	1445741.0	2204305.0	1315182.0	1454122.0	1337626.0	1549842.0	461331.0	1451391.0	371326.0	1351928.0	2302428.0	1973357.0	1261648.0	1482972.0	1719166.0	1584147.0	1262749.0	2432050.0	1867826.0	688036.0	1702878.0	1980741.0	656523.0	2094084.0	1841937.0	1370084.0	1560458.0	715886.0	5668356.0	471072.0	699841.0	1731071.0	1499166.0	1895584.0	1090044.0	1464940.0	2109355.0	1850927.0	667181.0	1398276.0	1550434.0	1840236.0	1466641.0	1559749.0	1430745.0	1049583.0	1518189.0	1971924.0	2099615.0	1292671.0	3383224.0	1521109.0	1244796.0	1269762.0	1302458.0	1373852.0	1036592.0	1249893.0	151055.0	602410.0	1370749.0	1357304.0	1569924.0	1610772.0	1662227.0	1367794.0	1862635.0	1470086.0	1576159.0	1717139.0	1389509.0	1036536.0	1326618.0	1172826.0	1111535.0	1161526.0	1367100.0	1496175.0	1568870.0	1207485.0	762833.0	1125660.0	1491108.0	1924546.0	1504128.0	1300773.0	1593557.0	1404312.0	908532.0	524108.0	827298.0	386753.0	1081885.0	2200355.0	1338911.0	1442288.0	1537458.0	1530908.0	1481841.0	1225987.0	805277.0	1273389.0	1229232.0	1398190.0	701291.0	1884598.0	1484211.0	1242385.0	1468122.0	1729469.0	1971569.0	1439878.0	1304976.0	1020673.0	1616127.0	1891705.0	1195446.0	2384829.0	1216680.0	1694412.0	1228076.0	1344773.0	1420076.0	1301612.0	1415367.0	1682371.0	1320903.0	1260287.0	1730772.0	1630044.0	Cellular Processes; Cell Motility
Cellular Processes and Signaling	3609583.0	2669650.0	2867499.0	3826623.0	2761911.0	2294337.0	13316516.0	2112931.0	3226995.0	2482549.0	2822847.0	2951097.0	2617735.0	2025461.0	2432417.0	1893717.0	2407265.0	2681192.0	1752118.0	2431711.0	1815214.0	2776213.0	2926001.0	1908959.0	2195523.0	2729001.0	2231381.0	1057765.0	1947791.0	954651.0	1876795.0	2637336.0	3712746.0	2077302.0	2323637.0	4480940.0	3202316.0	2619383.0	4861489.0	2728193.0	1752014.0	3156763.0	2020329.0	1530396.0	3968323.0	2507791.0	2309835.0	2955779.0	1773188.0	10210279.0	1005583.0	1167064.0	2363071.0	3140263.0	2895614.0	2320599.0	3532487.0	4427635.0	2851793.0	2098785.0	2954708.0	1990429.0	3468444.0	2581092.0	2010294.0	1880863.0	2241973.0	2163866.0	2373546.0	2194400.0	2558697.0	5917243.0	2325220.0	2037896.0	2796110.0	2232159.0	2660281.0	1875754.0	2301397.0	676274.0	1448036.0	1784783.0	2638638.0	2058009.0	3143890.0	2249879.0	2156033.0	3586848.0	2920880.0	2252284.0	2024209.0	1745021.0	1489757.0	1847157.0	2509023.0	2165855.0	2500765.0	2501563.0	3502832.0	2097501.0	2422474.0	1369511.0	2235355.0	2015595.0	2936153.0	2330316.0	2306780.0	1839292.0	2262426.0	1406596.0	1055646.0	1528686.0	954883.0	1643854.0	2495701.0	2575773.0	2013535.0	1840806.0	3140472.0	3581039.0	2029027.0	1325052.0	1681922.0	2260287.0	1984489.0	1560586.0	2650118.0	2014447.0	2438437.0	2277642.0	2244972.0	5461330.0	2915941.0	2272805.0	1913804.0	2209940.0	2668384.0	1676811.0	2986811.0	2302244.0	4242879.0	1702976.0	2542418.0	2372769.0	2074605.0	2498184.0	4480664.0	1857787.0	1943430.0	2016659.0	2898898.0	Unclassified; Cellular Processes and Signaling
Circulatory System	1418.0	131.0	324.0	782.0	2049.0	1550.0	171.0	898.0	316.0	192.0	192.0	304.0	1493.0	403.0	3410.0	982.0	587.0	1078.0	3221.0	1514.0	215.0	1337.0	27816.0	1922.0	632.0	1318.0	870.0	813.0	880.0	909.0	2328.0	1323.0	525.0	1087.0	351.0	839.0	381.0	665.0	1049.0	630.0	26704.0	7787.0	285.0	411.0	711.0	341.0	94.0	352.0	986.0	66.0	716.0	249.0	303.0	218.0	156.0	161.0	378.0	213.0	300.0	593.0	80.0	151.0	162.0	166.0	135.0	522.0	297.0	830.0	834.0	186.0	139.0	135.0	810.0	477.0	470.0	289.0	5311.0	699.0	1131.0	49.0	677.0	594.0	666.0	1221.0	295.0	762.0	168.0	981.0	5109.0	4677.0	320.0	2448.0	677.0	4143.0	297.0	1639.0	415.0	460.0	727.0	830.0	281.0	788.0	2961.0	724.0	1049.0	717.0	410.0	383.0	823.0	305.0	607.0	519.0	301.0	2918.0	263.0	565.0	3200.0	1594.0	464.0	1101.0	341.0	1160.0	1183.0	1995.0	887.0	825.0	1870.0	900.0	215.0	571.0	1388.0	285.0	339.0	1509.0	1440.0	2595.0	1017.0	788.0	879.0	1458.0	909.0	4508.0	327.0	2091.0	1883.0	2387.0	926.0	2149.0	1920.0	636.0	352.0	Organismal Systems; Circulatory System
Digestive System	21843.0	14779.0	18255.0	25674.0	14763.0	9651.0	111418.0	10616.0	16826.0	13033.0	18153.0	13252.0	16124.0	6846.0	9390.0	2389.0	14383.0	2110.0	6341.0	2493.0	2448.0	17445.0	11135.0	6172.0	8282.0	13810.0	7071.0	2144.0	1624.0	1796.0	3544.0	2429.0	26391.0	9594.0	9900.0	29684.0	19330.0	15511.0	35269.0	9538.0	11186.0	19404.0	969.0	15336.0	28032.0	9308.0	12326.0	18132.0	15085.0	97275.0	1996.0	2741.0	6235.0	20860.0	15740.0	12351.0	21384.0	30887.0	15603.0	9300.0	18501.0	4354.0	22835.0	13005.0	5069.0	4037.0	11952.0	6448.0	2855.0	1536.0	15430.0	43224.0	7452.0	7460.0	16615.0	9532.0	13318.0	5734.0	10496.0	678.0	5851.0	2896.0	11105.0	3572.0	12603.0	7238.0	8778.0	24764.0	19572.0	8217.0	2070.0	5826.0	3402.0	5960.0	15414.0	13783.0	15758.0	13001.0	17895.0	5654.0	13276.0	2933.0	12909.0	4505.0	13630.0	10251.0	11246.0	1723.0	9205.0	2275.0	2102.0	11051.0	1938.0	4189.0	2619.0	14669.0	7941.0	4125.0	13562.0	17328.0	6903.0	2506.0	2609.0	8927.0	7868.0	5357.0	5846.0	2584.0	13624.0	8676.0	4209.0	30952.0	13975.0	7583.0	6312.0	5034.0	5567.0	2074.0	3115.0	6960.0	20582.0	6132.0	12168.0	8867.0	7520.0	10065.0	21288.0	3275.0	6059.0	1965.0	12123.0	Organismal Systems; Digestive System
Endocrine System	103450.0	79300.0	74758.0	102398.0	90295.0	78258.0	282995.0	73583.0	90163.0	76034.0	73630.0	105297.0	88855.0	74995.0	88757.0	87940.0	69728.0	92707.0	62349.0	86170.0	84892.0	79211.0	172321.0	74080.0	73287.0	82232.0	79732.0	36449.0	66003.0	36146.0	72561.0	101192.0	96749.0	65109.0	77536.0	124358.0	85693.0	69675.0	115968.0	90235.0	144477.0	109083.0	91331.0	49163.0	105488.0	89915.0	72368.0	80620.0	72846.0	247981.0	51574.0	49588.0	85505.0	81288.0	96663.0	64359.0	96685.0	109471.0	97052.0	65205.0	75301.0	85014.0	86975.0	79107.0	79827.0	76614.0	61312.0	77323.0	88158.0	97634.0	66973.0	146330.0	82753.0	72099.0	73180.0	74551.0	126925.0	67079.0	66544.0	22783.0	46732.0	68278.0	85232.0	81107.0	112271.0	92416.0	73811.0	88440.0	84371.0	106260.0	84381.0	66635.0	61242.0	72171.0	64186.0	66750.0	63610.0	73038.0	106056.0	82840.0	67342.0	57881.0	67862.0	79894.0	106812.0	78097.0	68390.0	82704.0	77911.0	55909.0	37236.0	60817.0	33793.0	70304.0	101047.0	73630.0	72676.0	114591.0	105469.0	106948.0	71340.0	47468.0	75784.0	72269.0	108771.0	51583.0	87577.0	69887.0	68894.0	76078.0	82507.0	154000.0	88640.0	75868.0	63469.0	76212.0	83736.0	61491.0	97453.0	89789.0	121012.0	70251.0	75850.0	76558.0	75429.0	82196.0	140437.0	73437.0	78241.0	84421.0	94153.0	Organismal Systems; Endocrine System
Energy Metabolism	3162906.0	2303228.0	2281034.0	3195460.0	2620693.0	2222851.0	10559392.0	2054194.0	2831995.0	2267612.0	2236241.0	3070189.0	2396442.0	2079368.0	2299289.0	2297651.0	2054699.0	3147013.0	1804528.0	2804290.0	2237398.0	2320419.0	2634656.0	1980648.0	2123603.0	2423723.0	2295032.0	1419951.0	2369954.0	1377073.0	2039271.0	3080384.0	3160202.0	1918925.0	2257957.0	3976676.0	2631826.0	2157262.0	3984390.0	2778210.0	2026493.0	3047728.0	2485613.0	1869545.0	3267247.0	2620504.0	2114993.0	2467183.0	2148256.0	8327621.0	1585865.0	1630107.0	2591976.0	2497661.0	2819957.0	2073159.0	2977951.0	3615646.0	2810823.0	2272572.0	2296594.0	2315462.0	2803971.0	2340206.0	2220217.0	2175297.0	2068999.0	2239252.0	2750187.0	2713549.0	2090305.0	4994530.0	2368874.0	2067904.0	2247237.0	2147063.0	2589119.0	2012850.0	1971606.0	1144914.0	1690314.0	2175337.0	2482605.0	2249611.0	3292146.0	2498655.0	2104370.0	2920782.0	2531813.0	2388234.0	2411804.0	1867399.0	1854019.0	2020222.0	1976397.0	1927204.0	1940241.0	2151199.0	3097512.0	2270242.0	2098764.0	1764421.0	2042912.0	2292616.0	3012554.0	2241928.0	2043027.0	2258657.0	2206027.0	1788374.0	1427534.0	1590134.0	1379863.0	1812758.0	2899783.0	2128883.0	2005813.0	2326813.0	3064376.0	3240549.0	2175699.0	1550118.0	2066895.0	2219255.0	2517440.0	1777242.0	2765669.0	2372394.0	2031214.0	2197801.0	2441812.0	4875557.0	2689700.0	2313661.0	2013306.0	2345231.0	2715243.0	2041928.0	3308802.0	2512217.0	3813464.0	1787652.0	2312191.0	2238364.0	2209529.0	2425808.0	4259781.0	2090777.0	2107817.0	2392605.0	2797372.0	Metabolism; Energy Metabolism
Environmental Adaptation	74606.0	59586.0	53360.0	76993.0	71147.0	59899.0	247696.0	52707.0	75617.0	60764.0	52826.0	90566.0	59938.0	61238.0	59580.0	74694.0	49522.0	97301.0	46561.0	86578.0	73187.0	56934.0	77610.0	57011.0	60810.0	59429.0	67237.0	31043.0	68556.0	30034.0	57365.0	98040.0	75365.0	51712.0	64271.0	87597.0	63638.0	51494.0	92876.0	80924.0	42737.0	82840.0	81145.0	41645.0	79256.0	77510.0	57094.0	61273.0	45664.0	191899.0	36372.0	41775.0	76280.0	59214.0	78617.0	49017.0	67706.0	84351.0	77663.0	48774.0	54461.0	72326.0	68555.0	61963.0	68522.0	65236.0	47763.0	63287.0	86289.0	88431.0	50514.0	123726.0	66597.0	56842.0	51839.0	58139.0	66349.0	50332.0	46259.0	21930.0	37138.0	63976.0	61745.0	65747.0	89206.0	75476.0	58823.0	69701.0	62912.0	70603.0	78545.0	57399.0	52158.0	55282.0	46264.0	47763.0	45133.0	55589.0	70996.0	68465.0	51615.0	45993.0	49550.0	67291.0	86228.0	62090.0	53719.0	73234.0	61838.0	49052.0	32851.0	41028.0	30394.0	50086.0	92378.0	53159.0	58366.0	69988.0	78916.0	74548.0	58487.0	37830.0	61446.0	54849.0	73104.0	40795.0	78604.0	68295.0	49480.0	60680.0	73500.0	110891.0	67417.0	58833.0	49279.0	67590.0	76481.0	57993.0	101220.0	67423.0	86488.0	48467.0	58862.0	56975.0	60980.0	62771.0	99955.0	58366.0	59049.0	76818.0	75620.0	Organismal Systems; Environmental Adaptation
Enzyme Families	1405148.0	1059938.0	1071507.0	1450505.0	1138064.0	940134.0	4846395.0	886807.0	1350062.0	1020830.0	1063202.0	1352205.0	1062884.0	910800.0	985535.0	958895.0	951237.0	1476117.0	730630.0	1296808.0	942176.0	1058756.0	1086002.0	848155.0	968606.0	1069163.0	1019750.0	565048.0	1094853.0	547204.0	825057.0	1455987.0	1464996.0	857645.0	1015174.0	1749155.0	1232310.0	1000996.0	1817931.0	1278052.0	640103.0	1313319.0	1070838.0	756764.0	1521496.0	1156517.0	959618.0	1148467.0	804375.0	3816625.0	618324.0	661381.0	1208488.0	1180895.0	1241727.0	952561.0	1344448.0	1669237.0	1239736.0	942738.0	1105477.0	980140.0	1310928.0	1060332.0	959358.0	910928.0	923223.0	950372.0	1250822.0	1202411.0	990071.0	2268909.0	1014696.0	892099.0	1050957.0	946215.0	1049744.0	823005.0	854766.0	441557.0	706367.0	943843.0	1060895.0	928105.0	1401772.0	1065608.0	932907.0	1346733.0	1103729.0	994179.0	1065318.0	761950.0	792200.0	800660.0	942881.0	860774.0	928035.0	997405.0	1364951.0	967132.0	973946.0	709540.0	886468.0	975538.0	1299604.0	982192.0	940916.0	950056.0	978598.0	735358.0	573501.0	677194.0	545960.0	699919.0	1323626.0	1003116.0	840970.0	909428.0	1323834.0	1381279.0	940534.0	609444.0	846182.0	924775.0	1038745.0	725366.0	1234900.0	1059241.0	943586.0	982107.0	1067802.0	2138834.0	1193261.0	961920.0	823808.0	1027188.0	1240302.0	892663.0	1577872.0	1040024.0	1662411.0	702947.0	1047069.0	934728.0	897242.0	1027213.0	1799292.0	838939.0	864892.0	1035285.0	1245359.0	Metabolism; Enzyme Families
Excretory System	28482.0	18349.0	17426.0	21240.0	19308.0	15330.0	50664.0	14016.0	20534.0	16836.0	17799.0	20786.0	18952.0	15986.0	16814.0	17951.0	16297.0	21370.0	10352.0	18321.0	17257.0	16441.0	13431.0	15269.0	17111.0	20664.0	18172.0	4277.0	12750.0	4053.0	13402.0	21388.0	19551.0	14521.0	18184.0	31190.0	21299.0	17367.0	25370.0	20672.0	21890.0	23363.0	19075.0	7402.0	23407.0	18735.0	16631.0	19162.0	7092.0	40261.0	4910.0	6528.0	18420.0	20712.0	20171.0	14742.0	25783.0	26500.0	18444.0	15165.0	19934.0	18347.0	20316.0	18954.0	17380.0	15549.0	13291.0	16070.0	19458.0	19626.0	16496.0	29009.0	18854.0	16569.0	18862.0	17890.0	21997.0	13060.0	14291.0	802.0	7232.0	14729.0	20864.0	16461.0	30330.0	18878.0	16736.0	19482.0	18731.0	18675.0	18592.0	11329.0	10819.0	11771.0	16618.0	13763.0	16474.0	18047.0	24884.0	17545.0	16306.0	8381.0	14252.0	16862.0	22680.0	16917.0	16423.0	17377.0	18053.0	10167.0	4498.0	9968.0	3415.0	11534.0	21967.0	17989.0	14603.0	18677.0	27792.0	28945.0	15091.0	7199.0	14625.0	15515.0	14707.0	9624.0	19293.0	14656.0	16609.0	17062.0	17864.0	46000.0	22906.0	16176.0	12914.0	15766.0	19233.0	11947.0	23050.0	18010.0	33927.0	11642.0	18519.0	16006.0	14329.0	17784.0	40961.0	12739.0	14489.0	18240.0	24059.0	Organismal Systems; Excretory System
